<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
08/10/2018,114310,114330,114250,114310
08/10/2018,114300,114310,114150,114220
08/10/2018,114210,114230,114160,114160
08/10/2018,114170,114220,114160,114200
08/10/2018,114190,114230,114180,114200
08/10/2018,114200,114240,114190,114240
08/10/2018,114230,114240,114150,114150
08/10/2018,114160,114180,114080,114140
08/10/2018,114140,114180,114130,114160
08/10/2018,114160,114200,114150,114190
08/10/2018,114200,114290,114200,114220
08/10/2018,114220,114240,114190,114230
08/10/2018,114220,114280,114200,114280
08/10/2018,114280,114290,114260,114290
08/10/2018,114300,114340,114230,114240
08/10/2018,114250,114270,114220,114240
08/10/2018,114240,114310,114220,114280
08/10/2018,114280,114340,114260,114340
08/10/2018,114350,114370,114330,114350
08/10/2018,114340,114390,114310,114360
08/10/2018,114370,114390,114340,114350
08/10/2018,114350,114380,114290,114310
08/10/2018,114300,114320,114280,114300
08/10/2018,114300,114340,114260,114260
08/10/2018,114260,114340,114260,114330
08/10/2018,114330,114330,114280,114300
08/10/2018,114300,114330,114200,114240
08/10/2018,114240,114330,114230,114310
08/10/2018,114320,114320,114290,114290
08/10/2018,114300,114360,114300,114350
08/10/2018,114350,114390,114290,114300
08/10/2018,114290,114320,114290,114300
08/10/2018,114310,114320,114290,114290
08/10/2018,114310,114390,114300,114380
08/10/2018,114380,114460,114360,114410
08/10/2018,114410,114430,114390,114430
08/10/2018,114430,114440,114360,114380
08/10/2018,114390,114400,114350,114360
08/10/2018,114370,114380,114370,114380
08/10/2018,114390,114400,114360,114390
08/10/2018,114390,114410,114370,114400
08/10/2018,114410,114410,114380,114390
08/10/2018,114380,114420,114380,114400
08/10/2018,114400,114460,114390,114450
08/10/2018,114460,114540,114450,114480
08/10/2018,114490,114630,114460,114600
08/10/2018,114610,114710,114600,114690
08/10/2018,114700,114700,114590,114600
08/10/2018,114610,114640,114540,114540
08/10/2018,114550,114610,114530,114600
08/10/2018,114600,114620,114560,114590
08/10/2018,114600,114640,114580,114600
08/10/2018,114590,114600,114520,114540
08/10/2018,114540,114560,114510,114520
08/10/2018,114510,114550,114490,114540
08/10/2018,114540,114610,114540,114590
08/10/2018,114590,114630,114580,114590
08/10/2018,114590,114600,114530,114570
08/10/2018,114570,114580,114530,114580
08/10/2018,114580,114780,114580,114760
08/10/2018,114750,114820,114710,114800
08/10/2018,114810,114810,114750,114750
08/10/2018,114760,114800,114730,114790
08/10/2018,114790,114800,114720,114720
08/10/2018,114740,114750,114690,114690
08/10/2018,114700,114710,114680,114700
08/10/2018,114700,114730,114660,114670
08/10/2018,114660,114700,114650,114650
08/10/2018,114650,114680,114600,114630
08/10/2018,114630,114630,114520,114550
08/10/2018,114540,114600,114530,114600
08/10/2018,114600,114610,114570,114600
08/10/2018,114610,114620,114550,114580
08/10/2018,114580,114650,114580,114620
08/10/2018,114610,114610,114550,114570
08/10/2018,114580,114580,114520,114580
08/10/2018,114580,114630,114570,114610
08/10/2018,114610,114670,114610,114670
08/10/2018,114660,114670,114600,114600
08/10/2018,114600,114610,114570,114610
08/10/2018,114600,114630,114600,114620
08/10/2018,114600,114640,114600,114630
08/10/2018,114620,114690,114610,114670
08/10/2018,114670,114680,114640,114660
08/10/2018,114660,114690,114650,114660
08/10/2018,114670,114670,114590,114590
08/10/2018,114600,114630,114590,114610
08/10/2018,114610,114620,114520,114590
08/10/2018,114600,114660,114600,114650
08/10/2018,114640,114660,114620,114640
08/10/2018,114630,114640,114600,114600
08/10/2018,114600,114610,114550,114570
08/10/2018,114580,114640,114570,114620
08/10/2018,114630,114660,114620,114620
08/10/2018,114610,114630,114600,114610
08/10/2018,114610,114620,114590,114600
08/10/2018,114590,114590,114460,114460
08/10/2018,114460,114470,114410,114420
08/10/2018,114430,114470,114410,114460
08/10/2018,114470,114470,114440,114460
08/10/2018,114470,114480,114450,114460
08/10/2018,114470,114490,114440,114490
08/10/2018,114490,114530,114460,114510
08/10/2018,114500,114530,114490,114510
08/10/2018,114520,114570,114510,114510
08/10/2018,114510,114550,114500,114530
08/10/2018,114530,114550,114510,114510
08/10/2018,114520,114540,114500,114510
08/10/2018,114520,114620,114500,114590
08/10/2018,114590,114620,114560,114570
08/10/2018,114580,114610,114520,114530
08/10/2018,114520,114520,114450,114460
08/10/2018,114460,114540,114450,114510
08/10/2018,114510,114510,114440,114470
08/10/2018,114470,114520,114450,114490
08/10/2018,114500,114500,114450,114460
08/10/2018,114450,114490,114420,114490
08/10/2018,114490,114490,114460,114480
08/10/2018,114480,114520,114440,114440
08/10/2018,114450,114500,114440,114480
08/10/2018,114480,114480,114460,114480
08/10/2018,114470,114560,114470,114550
08/10/2018,114540,114550,114510,114520
08/10/2018,114510,114520,114500,114520
08/10/2018,114500,114500,114460,114470
08/10/2018,114460,114470,114420,114420
08/10/2018,114420,114490,114420,114450
08/10/2018,114440,114460,114420,114440
08/10/2018,114430,114430,114360,114370
08/10/2018,114370,114420,114360,114390
08/10/2018,114390,114420,114360,114370
08/10/2018,114390,114420,114360,114420
08/10/2018,114420,114460,114410,114420
08/10/2018,114410,114410,114360,114370
08/10/2018,114370,114400,114360,114400
08/10/2018,114390,114430,114360,114420
08/10/2018,114400,114420,114380,114400
08/10/2018,114390,114410,114380,114400
08/10/2018,114390,114420,114360,114370
08/10/2018,114360,114370,114360,114360
08/10/2018,114360,114400,114360,114380
08/10/2018,114370,114400,114370,114390
08/10/2018,114400,114500,114400,114470
08/10/2018,114480,114540,114420,114430
08/10/2018,114430,114450,114410,114430
08/10/2018,114430,114490,114430,114490
08/10/2018,114490,114520,114490,114520
08/10/2018,114530,114560,114470,114490
08/10/2018,114490,114570,114490,114570
08/10/2018,114570,114600,114500,114520
08/10/2018,114520,114540,114490,114500
08/10/2018,114500,114520,114480,114500
08/10/2018,114520,114520,114450,114460
08/10/2018,114460,114460,114420,114450
08/10/2018,114440,114520,114440,114520
08/10/2018,114500,114550,114490,114520
08/10/2018,114520,114540,114470,114470
08/10/2018,114470,114470,114340,114350
08/10/2018,114350,114410,114330,114370
08/10/2018,114360,114370,114290,114290
08/10/2018,114290,114330,114270,114320
08/10/2018,114330,114340,114290,114340
08/10/2018,114350,114350,114280,114290
08/10/2018,114280,114320,114270,114310
08/10/2018,114290,114350,114290,114340
08/10/2018,114350,114370,114330,114350
08/10/2018,114360,114440,114350,114400
08/10/2018,114390,114430,114380,114420
08/10/2018,114430,114430,114360,114380
08/10/2018,114380,114410,114370,114410
08/10/2018,114390,114400,114350,114380
08/10/2018,114380,114390,114360,114370
08/10/2018,114380,114380,114330,114350
08/10/2018,114340,114340,114210,114250
08/10/2018,114250,114280,114240,114260
08/10/2018,114240,114320,114170,114320
08/10/2018,114330,114370,114300,114330
08/10/2018,114320,114370,114290,114300
08/10/2018,114310,114390,114290,114390
08/10/2018,114380,114440,114370,114400
08/10/2018,114410,114520,114400,114520
08/10/2018,114510,114530,114460,114490
08/10/2018,114480,114490,114400,114430
08/10/2018,114430,114490,114420,114470
08/10/2018,114460,114580,114450,114550
08/10/2018,114560,114590,114520,114520
08/10/2018,114520,114640,114520,114590
08/10/2018,114590,114720,114570,114650
08/10/2018,114660,114690,114620,114650
08/10/2018,114660,114690,114640,114680
08/10/2018,114680,114750,114680,114750
08/10/2018,114750,114760,114700,114710
08/10/2018,114710,114770,114700,114710
08/10/2018,114710,114720,114650,114710
08/10/2018,114710,114710,114640,114690
08/10/2018,114680,114800,114680,114730
08/10/2018,114740,114760,114700,114720
08/10/2018,114710,114720,114660,114660
08/10/2018,114660,114680,114640,114660
08/10/2018,114670,114770,114670,114760
08/10/2018,114740,114800,114730,114760
08/10/2018,114750,114800,114740,114770
08/10/2018,114780,114940,114770,114910
08/10/2018,114910,115070,114900,115030
08/10/2018,115030,115040,114950,114960
08/10/2018,114970,115040,114940,114960
08/10/2018,114960,115150,114950,115080
08/10/2018,115080,115100,115030,115030
08/10/2018,115030,115110,115020,115050
08/10/2018,115040,115070,115030,115030
08/10/2018,115030,115100,115010,115060
08/10/2018,115070,115190,115060,115190
08/10/2018,115190,115280,115190,115210
08/10/2018,115210,115340,115200,115300
08/10/2018,115310,115440,115290,115390
08/10/2018,115410,115440,115360,115390
08/10/2018,115390,115470,115360,115410
08/10/2018,115410,115490,115400,115480
08/10/2018,115480,115520,115360,115380
08/10/2018,115380,115420,115350,115390
08/10/2018,115390,115400,115360,115370
08/10/2018,115360,115390,115320,115340
08/10/2018,115340,115380,115270,115290
08/10/2018,115300,115320,115260,115310
08/10/2018,115300,115320,115260,115290
08/10/2018,115280,115290,115250,115260
08/10/2018,115260,115320,115250,115300
08/10/2018,115310,115480,115290,115470
08/10/2018,115470,115490,115320,115330
08/10/2018,115320,115420,115320,115370
08/10/2018,115370,115380,115260,115280
08/10/2018,115290,115370,115270,115310
08/10/2018,115330,115420,115310,115410
08/10/2018,115400,115440,115360,115380
08/10/2018,115370,115420,115370,115400
08/10/2018,115420,115490,115390,115420
08/10/2018,115440,115450,115390,115420
08/10/2018,115420,115450,115280,115290
08/10/2018,115290,115330,115230,115250
08/10/2018,115250,115270,115180,115200
08/10/2018,115200,115220,115150,115160
08/10/2018,115170,115250,115160,115250
08/10/2018,115230,115320,115230,115280
08/10/2018,115280,115330,115280,115290
08/10/2018,115300,115310,115210,115260
08/10/2018,115250,115260,115180,115190
08/10/2018,115190,115210,115070,115070
08/10/2018,115080,115190,115070,115140
08/10/2018,115130,115130,115060,115080
08/10/2018,115080,115140,115080,115120
08/10/2018,115120,115160,115100,115140
08/10/2018,115150,115160,115090,115160
08/10/2018,115170,115230,115160,115210
08/10/2018,115210,115220,115170,115190
08/10/2018,115190,115210,115160,115170
08/10/2018,115180,115280,115180,115280
08/10/2018,115280,115290,115250,115280
08/10/2018,115280,115300,115220,115280
08/10/2018,115270,115270,115210,115230
08/10/2018,115220,115260,115210,115240
08/10/2018,115240,115270,115220,115230
08/10/2018,115240,115260,115200,115230
08/10/2018,115230,115330,115230,115300
08/10/2018,115300,115320,115170,115190
08/10/2018,115190,115220,115160,115170
08/10/2018,115170,115190,115120,115120
08/10/2018,115110,115180,115110,115180
08/10/2018,115180,115220,115150,115210
08/10/2018,115210,115240,115190,115190
08/10/2018,115180,115290,115170,115290
08/10/2018,115290,115320,115250,115310
08/10/2018,115310,115330,115290,115320
08/10/2018,115320,115380,115320,115370
08/10/2018,115370,115410,115330,115370
08/10/2018,115370,115410,115350,115410
08/10/2018,115410,115670,115370,115620
08/10/2018,115600,115720,115550,115690
08/10/2018,115700,115760,115600,115620
08/10/2018,115630,115640,115580,115630
08/10/2018,115630,115650,115540,115570
08/10/2018,115580,115670,115500,115660
08/10/2018,115670,115680,115530,115610
08/10/2018,115610,115710,115600,115670
08/10/2018,115670,115830,115670,115750
08/10/2018,115750,115830,115740,115780
08/10/2018,115790,115870,115770,115840
08/10/2018,115860,115870,115800,115810
08/10/2018,115820,115950,115820,115950
08/10/2018,115930,116060,115920,115940
08/10/2018,115940,115950,115840,115860
08/10/2018,115860,115900,115850,115860
08/10/2018,115860,115940,115860,115860
08/10/2018,115870,115930,115850,115890
08/10/2018,115920,115950,115810,115820
08/10/2018,115820,115840,115760,115770
08/10/2018,115770,115810,115720,115740
08/10/2018,115740,115750,115660,115660
08/10/2018,115660,115700,115560,115600
08/10/2018,115610,115650,115540,115630
08/10/2018,115620,115630,115540,115610
08/10/2018,115610,115700,115590,115660
08/10/2018,115660,115720,115620,115690
08/10/2018,115690,115810,115620,115680
08/10/2018,115680,115700,115550,115550
08/10/2018,115570,115630,115520,115630
08/10/2018,115620,115700,115610,115660
08/10/2018,115660,115670,115550,115620
08/10/2018,115510,115600,115430,115580
08/10/2018,115580,115650,115560,115640
08/10/2018,115630,115690,115610,115690
08/10/2018,115700,115700,115570,115600
08/10/2018,115600,115660,115580,115590
08/10/2018,115590,115630,115550,115620
08/10/2018,115620,115650,115600,115600
08/10/2018,115590,115590,115530,115540
08/10/2018,115550,115610,115540,115590
08/10/2018,115590,115600,115550,115550
08/10/2018,115560,115570,115520,115550
08/10/2018,115560,115590,115530,115590
08/10/2018,115580,115600,115540,115540
08/10/2018,115550,115560,115510,115560
08/10/2018,115570,115600,115550,115570
08/10/2018,115570,115640,115570,115610
08/10/2018,115600,115610,115560,115570
08/10/2018,115570,115600,115560,115570
08/10/2018,115560,115560,115530,115540
08/10/2018,115550,115610,115540,115590
08/10/2018,115580,115600,115560,115580
08/10/2018,115590,115670,115560,115560
08/10/2018,115580,115580,115530,115570
08/10/2018,115560,115650,115560,115630
08/10/2018,115640,115670,115620,115650
08/10/2018,115660,115670,115630,115630
08/10/2018,115620,115630,115610,115620
08/10/2018,115630,115680,115630,115650
08/10/2018,115650,115700,115650,115690
08/10/2018,115690,115730,115660,115710
08/10/2018,115720,115730,115660,115660
08/10/2018,115660,115680,115640,115680
08/10/2018,115670,115700,115640,115650
08/10/2018,115640,115640,115620,115630
08/10/2018,115640,115650,115610,115620
08/10/2018,115630,115630,115610,115610
08/10/2018,115620,115660,115620,115660
08/10/2018,115660,115710,115660,115690
08/10/2018,115690,115700,115650,115700
08/10/2018,115700,115700,115650,115670
08/10/2018,115660,115720,115650,115720
08/10/2018,115720,115720,115650,115650
08/10/2018,115650,115700,115650,115690
08/10/2018,115690,115690,115660,115680
08/10/2018,115680,115680,115630,115630
08/10/2018,115640,115680,115630,115660
08/10/2018,115650,115660,115580,115590
08/10/2018,115590,115610,115570,115590
08/10/2018,115590,115640,115590,115640
08/10/2018,115610,115650,115610,115610
08/10/2018,115620,115630,115620,115630
08/10/2018,115630,115630,115600,115600
08/10/2018,115590,115610,115570,115570
08/10/2018,115580,115590,115550,115550
08/10/2018,115560,115560,115520,115540
08/10/2018,115540,115570,115520,115560
08/10/2018,115570,115580,115550,115550
08/10/2018,115550,115550,115500,115520
08/10/2018,115510,115550,115460,115470
08/10/2018,115480,115480,115370,115430
08/10/2018,115430,115470,115420,115460
08/10/2018,115440,115460,115370,115430
08/10/2018,115450,115470,115430,115450
08/10/2018,115460,115470,115410,115420
08/10/2018,115430,115490,115410,115470
08/10/2018,115470,115480,115430,115470
08/10/2018,115470,115470,115410,115460
08/10/2018,115450,115540,115450,115500
08/10/2018,115500,115540,115480,115540
08/10/2018,115540,115590,115530,115590
08/10/2018,115570,115590,115560,115570
08/10/2018,115570,115580,115550,115560
08/10/2018,115550,115550,115500,115500
08/10/2018,115500,115560,115490,115530
08/10/2018,115510,115530,115500,115530
08/10/2018,115510,115510,115440,115490
08/10/2018,115490,115540,115490,115500
08/10/2018,115500,115510,115420,115420
08/10/2018,115420,115460,115420,115430
08/10/2018,115440,115460,115410,115420
08/10/2018,115430,115460,115420,115430
08/10/2018,115430,115430,115410,115420
08/10/2018,115430,115480,115430,115470
08/10/2018,115480,115490,115460,115470
08/10/2018,115460,115510,115460,115510
08/10/2018,115500,115580,115500,115550
08/10/2018,115550,115560,115500,115510
08/10/2018,115520,115520,115500,115500
08/10/2018,115490,115510,115490,115510
08/10/2018,115520,115520,115490,115500
08/10/2018,115510,115670,115510,115640
08/10/2018,115640,115740,115640,115650
08/10/2018,115660,115700,115630,115680
08/10/2018,115690,115710,115670,115680
08/10/2018,115670,115730,115650,115700
08/10/2018,115700,115780,115680,115710
08/10/2018,115720,115720,115680,115680
08/10/2018,115680,115690,115650,115660
08/10/2018,115670,115730,115670,115710
08/10/2018,115720,115730,115680,115690
08/10/2018,115700,115750,115700,115750
08/10/2018,115740,115770,115740,115760
08/10/2018,115770,115790,115740,115770
08/10/2018,115780,115790,115760,115770
08/10/2018,115770,115790,115760,115770
08/10/2018,115760,115770,115700,115720
08/10/2018,115740,115780,115740,115770
08/10/2018,115770,115770,115720,115720
08/10/2018,115740,115790,115740,115740
08/10/2018,115730,115730,115700,115700
08/10/2018,115710,115790,115710,115770
08/10/2018,115760,115770,115750,115750
08/10/2018,115760,115770,115740,115770
08/10/2018,115780,115820,115780,115800
08/10/2018,115800,115800,115760,115780
08/10/2018,115790,115790,115760,115780
08/10/2018,115760,115760,115720,115730
08/10/2018,115730,115750,115720,115740
08/10/2018,115740,115750,115730,115730
08/10/2018,115720,115760,115710,115740
08/10/2018,115740,115790,115730,115790
08/10/2018,115790,115810,115770,115790
08/10/2018,115810,115910,115810,115900
08/10/2018,115900,115930,115860,115910
08/10/2018,115910,115940,115890,115890
08/10/2018,115900,116000,115900,116000
08/10/2018,116000,116000,115950,115980
08/10/2018,115980,116000,115960,115960
08/10/2018,115970,116030,115970,116000
08/10/2018,116000,116020,115970,115970
08/10/2018,115970,116000,115960,115960
08/10/2018,115960,115970,115930,115930
08/10/2018,115940,115950,115900,115910
08/10/2018,115910,115950,115900,115930
08/10/2018,115920,115940,115890,115930
08/10/2018,115950,115950,115890,115920
08/10/2018,115930,115930,115920,115920
08/10/2018,115930,115940,115920,115920
08/10/2018,115920,115920,115860,115900
08/10/2018,115880,115900,115860,115900
08/10/2018,115880,115950,115870,115950
08/10/2018,115960,115970,115930,115960
08/10/2018,115940,115970,115920,115940
08/10/2018,115930,115960,115880,115900
08/10/2018,115910,115920,115890,115910
08/10/2018,115900,115960,115900,115950
08/10/2018,115950,116020,115910,115930
08/10/2018,115920,115970,115920,115950
08/10/2018,115950,115970,115920,115940
08/10/2018,115930,115950,115920,115920
08/10/2018,115930,115990,115900,115970
08/10/2018,115970,115980,115920,115930
08/10/2018,115930,115960,115910,115930
08/10/2018,115940,115980,115940,115960
08/10/2018,115970,115980,115960,115970
08/10/2018,115980,115980,115940,115950
08/10/2018,115960,115970,115930,115930
08/10/2018,115940,115940,115900,115910
08/10/2018,115930,115950,115910,115930
08/10/2018,115950,115980,115950,115980
08/10/2018,115980,116030,115960,115960
08/10/2018,115980,115980,115950,115970
08/10/2018,115980,116010,115960,115960
08/10/2018,115950,115990,115950,115990
08/10/2018,116000,116000,115960,115990
08/10/2018,116000,116000,115980,115990
08/10/2018,115980,116000,115970,115980
08/10/2018,116000,116010,115980,116000
08/10/2018,116000,116090,115990,116060
08/10/2018,116060,116090,116040,116070
08/10/2018,116060,116200,116060,116160
08/10/2018,116170,116180,116140,116180
08/10/2018,116160,116220,116150,116190
08/10/2018,116190,116210,116170,116170
08/10/2018,116180,116200,116170,116180
08/10/2018,116180,116240,116170,116200
08/10/2018,116210,116240,116210,116240
08/10/2018,116240,116240,116190,116200
08/10/2018,116210,116220,116180,116180
08/10/2018,116190,116230,116190,116230
08/10/2018,116230,116260,116180,116210
08/10/2018,116200,116280,116200,116260
08/10/2018,116260,116270,116230,116230
08/10/2018,116230,116240,116200,116210
08/10/2018,116220,116250,116220,116240
08/10/2018,116250,116250,116210,116210
08/10/2018,116210,116220,116180,116200
08/10/2018,116200,116250,116190,116250
08/10/2018,116260,116260,116200,116240
08/10/2018,116220,116230,116200,116220
08/10/2018,116210,116260,116200,116230
08/10/2018,116240,116290,116190,116230
08/10/2018,116230,116260,116230,116240
08/10/2018,116240,116250,116230,116250
08/10/2018,116250,116270,116170,116170
08/10/2018,116180,116210,116050,116050
08/10/2018,116050,116110,116040,116100
08/10/2018,116100,116150,116090,116110
08/10/2018,116120,116120,116070,116100
08/10/2018,116110,116160,116110,116140
08/10/2018,116140,116140,116120,116140
08/10/2018,116120,116140,116110,116110
08/10/2018,116100,116110,116070,116080
08/10/2018,116080,116080,116030,116070
08/10/2018,116050,116050,116010,116030
08/10/2018,116020,116050,116010,116040
08/10/2018,116050,116080,116050,116060
08/10/2018,116070,116080,116040,116080
08/10/2018,116080,116080,116010,116030
08/10/2018,116030,116080,116010,116030
08/10/2018,116030,116080,116030,116060
08/10/2018,116050,116050,116010,116050
08/10/2018,116050,116110,116050,116110
08/10/2018,116090,116120,116080,116110
08/10/2018,116090,116100,116090,116090
08/10/2018,116090,116110,116060,116070
08/10/2018,116050,116110,116050,116070
08/10/2018,116080,116120,116080,116100
08/10/2018,116100,116130,116090,116110
08/10/2018,116120,116140,116100,116140
08/10/2018,116140,116170,116130,116160
08/10/2018,116140,116160,116140,116140
08/10/2018,116140,116140,116100,116130
08/10/2018,116100,116110,116080,116100
08/10/2018,116100,116120,116090,116120
08/10/2018,116120,116170,116120,116160
08/10/2018,116140,116160,116130,116140
08/10/2018,116130,116130,116100,116120
08/10/2018,116120,116160,116120,116160
08/10/2018,116150,116170,116140,116170
08/10/2018,116170,116170,116070,116100
08/10/2018,116080,116150,116080,116150
08/10/2018,116150,116150,116120,116130
08/10/2018,116130,116150,116080,116150
08/10/2018,116130,116150,116100,116110
08/10/2018,116090,116120,116070,116100
08/10/2018,116090,116120,116080,116110
08/10/2018,116110,116150,116090,116140
08/10/2018,116150,116150,116110,116120
08/10/2018,116110,116120,116060,116070
08/10/2018,116070,116070,116030,116060
08/10/2018,116080,116100,116070,116090
08/10/2018,116100,116100,116080,116100
08/10/2018,116090,116100,116060,116060
08/10/2018,116060,116060,116030,116060
08/10/2018,116070,116080,116070,116080
08/10/2018,116070,116090,116070,116080
08/10/2018,116070,116080,116070,116080
08/10/2018,116090,116100,116080,116090
08/10/2018,116100,116100,116080,116080
08/10/2018,116080,116120,116080,116120
08/10/2018,116120,116150,116120,116150
08/10/2018,116130,116140,116120,116140
08/10/2018,116130,116150,116120,116130
08/10/2018,116150,116190,116150,116160
08/10/2018,116160,116170,116150,116160
08/10/2018,116150,116150,116140,116150
08/10/2018,116150,116160,116150,116160
08/10/2018,116150,116160,116150,116160
08/10/2018,116170,116170,116140,116150
08/10/2018,116150,116150,116130,116130
08/10/2018,116130,116150,116130,116150
08/10/2018,116160,116170,116160,116170
08/10/2018,116170,116180,116160,116180
08/10/2018,116180,116180,116160,116160
08/10/2018,116160,116170,116160,116170
08/10/2018,116180,116200,116170,116200
08/10/2018,116200,116200,116180,116190
08/10/2018,116190,116190,116180,116180
08/10/2018,116180,116180,116110,116110
08/10/2018,116110,116130,116090,116130
08/10/2018,116120,116140,116110,116120
08/10/2018,116120,116120,116100,116100
08/10/2018,116100,116140,116100,116120
08/10/2018,116110,116120,116100,116120
08/10/2018,116130,116130,116120,116130
08/10/2018,116140,116160,116140,116160
08/10/2018,116160,116170,116130,116130
08/10/2018,116130,116130,115970,116020
08/10/2018,116020,116050,116010,116030
08/10/2018,116030,116070,116030,116050
08/10/2018,116050,116110,116050,116080
08/10/2018,116080,116100,116070,116100
08/10/2018,116100,116110,115990,115990
08/10/2018,115990,116030,115980,116000
08/10/2018,115990,116010,115970,116000
08/10/2018,116000,116010,115970,115970
08/10/2018,115990,116040,115990,116010
08/10/2018,116020,116090,116000,116060
08/10/2018,116080,116130,115970,116060
08/11/2018,115980,116350,115980,116090
08/11/2018,116100,116160,116030,116110
08/11/2018,116110,116140,115950,116060
08/11/2018,116060,116070,115850,115860
08/11/2018,115860,115910,115770,115890
08/11/2018,115890,115890,115720,115750
08/11/2018,115750,115800,115710,115760
08/11/2018,115760,115780,115680,115730
08/11/2018,115730,115870,115700,115850
08/11/2018,115870,116050,115840,116020
08/11/2018,116030,116100,115950,116070
08/11/2018,116050,116200,116040,116200
08/11/2018,116190,116200,116070,116140
08/11/2018,116130,116160,116080,116130
08/11/2018,116110,116150,116050,116070
08/11/2018,116070,116170,116040,116170
08/11/2018,116160,116310,116150,116310
08/11/2018,116310,116320,116240,116270
08/11/2018,116270,116300,116220,116250
08/11/2018,116240,116270,116200,116240
08/11/2018,116250,116270,116190,116220
08/11/2018,116210,116210,116140,116200
08/11/2018,116200,116210,116170,116210
08/11/2018,116200,116260,116140,116190
08/11/2018,116180,116210,116080,116080
08/11/2018,116090,116130,115910,115950
08/11/2018,115950,115970,115810,115830
08/11/2018,115820,115840,115580,115630
08/11/2018,115620,115670,115550,115640
08/11/2018,115640,115660,115580,115620
08/11/2018,115600,115610,115450,115500
08/11/2018,115500,115520,115450,115490
08/11/2018,115500,115600,115380,115580
08/11/2018,115560,115700,115500,115680
08/11/2018,115690,115710,115580,115590
08/11/2018,115580,115610,115480,115590
08/11/2018,115590,115590,115530,115570
08/11/2018,115560,115590,115540,115570
08/11/2018,115560,115560,115450,115450
08/11/2018,115460,115520,115430,115440
08/11/2018,115440,115600,115400,115580
08/11/2018,115560,115600,115500,115540
08/11/2018,115540,115550,115500,115530
08/11/2018,115530,115610,115510,115570
08/11/2018,115570,115610,115550,115580
08/11/2018,115580,115670,115540,115640
08/11/2018,115640,115770,115640,115720
08/11/2018,115730,115870,115700,115820
08/11/2018,115830,115840,115720,115780
08/11/2018,115790,115800,115650,115670
08/11/2018,115680,115690,115630,115670
08/11/2018,115680,115680,115610,115650
08/11/2018,115660,115670,115620,115650
08/11/2018,115640,115730,115630,115700
08/11/2018,115710,115740,115670,115690
08/11/2018,115680,115780,115660,115750
08/11/2018,115750,115790,115730,115730
08/11/2018,115730,115790,115720,115770
08/11/2018,115760,115790,115680,115690
08/11/2018,115700,115760,115680,115760
08/11/2018,115750,115790,115680,115780
08/11/2018,115780,115990,115780,115980
08/11/2018,115980,116020,115920,115950
08/11/2018,115940,116070,115920,116030
08/11/2018,116040,116060,116000,116050
08/11/2018,116050,116050,115990,115990
08/11/2018,116000,116020,115980,116000
08/11/2018,116000,116010,115960,115970
08/11/2018,115980,116010,115940,116000
08/11/2018,116000,116010,115970,115980
08/11/2018,115990,116120,115960,116090
08/11/2018,116090,116130,116060,116100
08/11/2018,116090,116220,116090,116170
08/11/2018,116150,116160,116070,116090
08/11/2018,116090,116100,116050,116080
08/11/2018,116080,116130,116070,116080
08/11/2018,116100,116100,116050,116070
08/11/2018,116070,116090,116040,116040
08/11/2018,116040,116100,116040,116050
08/11/2018,116050,116160,116050,116160
08/11/2018,116170,116200,116120,116120
08/11/2018,116120,116150,116060,116100
08/11/2018,116090,116140,116070,116080
08/11/2018,116080,116110,116050,116100
08/11/2018,116120,116180,116110,116170
08/11/2018,116180,116190,116120,116120
08/11/2018,116120,116150,116090,116090
08/11/2018,116090,116200,116080,116180
08/11/2018,116190,116450,116180,116310
08/11/2018,116320,116420,116290,116410
08/11/2018,116410,116440,116350,116360
08/11/2018,116370,116380,116320,116330
08/11/2018,116320,116380,116320,116370
08/11/2018,116370,116430,116360,116400
08/11/2018,116400,116430,116370,116380
08/11/2018,116390,116460,116350,116440
08/11/2018,116440,116560,116440,116450
08/11/2018,116460,116490,116430,116480
08/11/2018,116480,116530,116470,116500
08/11/2018,116500,116520,116450,116520
08/11/2018,116520,116520,116450,116490
08/11/2018,116500,116510,116480,116480
08/11/2018,116490,116550,116480,116490
08/11/2018,116500,116510,116440,116440
08/11/2018,116440,116500,116430,116490
08/11/2018,116480,116560,116470,116520
08/11/2018,116510,116530,116450,116500
08/11/2018,116510,116510,116430,116430
08/11/2018,116420,116440,116380,116400
08/11/2018,116400,116450,116350,116440
08/11/2018,116440,116450,116400,116400
08/11/2018,116390,116390,116340,116350
08/11/2018,116340,116390,116340,116380
08/11/2018,116390,116410,116340,116360
08/11/2018,116350,116400,116350,116380
08/11/2018,116380,116390,116350,116380
08/11/2018,116390,116440,116380,116410
08/11/2018,116400,116400,116350,116370
08/11/2018,116370,116390,116360,116390
08/11/2018,116400,116470,116390,116460
08/11/2018,116460,116460,116400,116420
08/11/2018,116400,116420,116340,116370
08/11/2018,116370,116400,116340,116340
08/11/2018,116340,116340,116140,116200
08/11/2018,116200,116210,116150,116180
08/11/2018,116180,116270,116180,116270
08/11/2018,116270,116280,116170,116220
08/11/2018,116220,116280,116190,116250
08/11/2018,116250,116260,116230,116260
08/11/2018,116260,116260,116190,116220
08/11/2018,116210,116260,116190,116230
08/11/2018,116230,116300,116230,116290
08/11/2018,116290,116310,116250,116300
08/11/2018,116300,116320,116280,116280
08/11/2018,116290,116310,116160,116160
08/11/2018,116170,116240,116160,116240
08/11/2018,116230,116280,116200,116260
08/11/2018,116260,116300,116260,116270
